"Study_ID","Setting","Modality","Reference_Test","Sensitivity","Specificity","AUC","n_diseased","n_non_diseased","TP","FN","FP","TN","PLR","NLR","DOR","PPV","NPV","Accuracy"
"Ahrari_et_al","in vivo","NIRT","Visual and tactile examination",0.89,0.14,0.65,9,34,8,1,29,5,1.03488372093023,0.785714285714286,1.31712473572939,0.216216216216216,0.833333333333333,0.302325581395349
"Heck_et_al","in vitro","NIRR","Micro-Computed Tomography",0.29,0.84,0.57,92,158,27,65,25,133,1.8125,0.845238095238095,2.1443661971831,0.519230769230769,0.671717171717172,0.64
"Hoxie_et_al","in vitro","NIRR","Micro-Computed Tomography",0.56,0.89,0.71,45,53,25,20,6,47,5.09090909090909,0.49438202247191,10.297520661157,0.806451612903226,0.701492537313433,0.73469387755102
"Kanar_et_al","in vivo","NIRR","Consensus by two examiners based on bitewing radiograph",0.64,0.8,0.79,197,442,126,71,88,354,3.2,0.45,7.11111111111111,0.588785046728972,0.832941176470588,0.751173708920188
"Kocak et al.","in vivo","NIRR","Consensus by two examiners for enamel lesions (based on clinical examination + bitewing radiographs); Lesion opening for dentin lesions",0.77,0.33,0.71,326,9,251,75,6,3,1.14925373134328,0.696969696969697,1.64892926670993,0.976653696498054,0.0384615384615385,0.75820895522388
"Litzenburger_et_al","in vitro","NIRR","Micro-computed Tomography",0.33,0.84,0.58,92,158,30,62,25,133,2.0625,0.797619047619048,2.58582089552239,0.545454545454545,0.682051282051282,0.652
"Metzger_et_al","in vivo","NIRT","Bitewing radiograph examination by experts",0.73,0.97,0.85,223,3276,163,60,98,3178,24.3333333333333,0.278350515463918,87.4197530864197,0.624521072796935,0.981470043236566,0.954844241211775
"Rodrigues_et_al","in vitro","NIRT","Histological Analysis",0.37,0.96,0.67,73,98,27,46,4,94,9.24999999999999,0.65625,14.0952380952381,0.870967741935484,0.671428571428571,0.707602339181287
"Shen_et_al","in vivo","NIRR","Ground Truth established by experienced operators",0.44,0.83,0.63,68,448,30,38,76,372,2.58823529411765,0.674698795180723,3.83613445378151,0.283018867924528,0.907317073170732,0.77906976744186
"Stratigaki_et_al","in vivo","NIRR","Clinical Validation",0.97,0.6,0.8,85,31,82,3,12,19,2.425,0.05,48.5,0.872340425531915,0.863636363636364,0.870689655172414
"Wang_et_al","in vitro","NIRR","Histological Analysis",0.76,0.96,0.86,87,31,66,21,1,30,19,0.25,75.9999999999999,0.985074626865672,0.588235294117647,0.813559322033898
